epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,960.686,0.65875,0.57196,0.89162,0.78919,0.59488,0.63975,0.49794,0.61458,0.44499,0.86924,0.000277479,0.000277479,0.000277479
2,1902.95,0.62328,0.43105,0.88284,0.69379,0.6118,0.65851,0.51629,0.62294,0.43637,0.8811,0.000533162,0.000533162,0.000533162
3,2840.59,0.60532,0.40304,0.87506,0.6272,0.64454,0.63006,0.48529,0.60148,0.41689,0.87005,0.000766854,0.000766854,0.000766854
4,3775.4,0.58561,0.38477,0.86964,0.68869,0.63266,0.67263,0.5314,0.5779,0.39335,0.87351,0.00073404,0.00073404,0.00073404
5,4711.05,0.5689,0.36299,0.86422,0.63648,0.68567,0.67926,0.5426,0.59207,0.39083,0.89264,0.000701053,0.000701053,0.000701053
6,5646.31,0.5541,0.34731,0.86018,0.69864,0.65382,0.68197,0.54243,0.5695,0.37032,0.87507,0.000668066,0.000668066,0.000668066
7,6582.5,0.54365,0.33573,0.85656,0.67702,0.65659,0.6756,0.53189,0.56608,0.36022,0.86027,0.000635079,0.000635079,0.000635079
8,7517.45,0.53419,0.32815,0.85553,0.68957,0.6715,0.6808,0.5459,0.55608,0.35355,0.86673,0.000602092,0.000602092,0.000602092
9,8452.71,0.52581,0.31726,0.85182,0.65412,0.70947,0.69586,0.55182,0.56422,0.34604,0.87329,0.000569106,0.000569106,0.000569106
10,9387.88,0.51921,0.30871,0.84886,0.68615,0.70268,0.70039,0.56451,0.56041,0.3619,0.87496,0.000536119,0.000536119,0.000536119
11,10322.6,0.5098,0.29978,0.84795,0.67583,0.72865,0.70498,0.56109,0.55382,0.33614,0.87733,0.000503132,0.000503132,0.000503132
12,11256.7,0.50284,0.29481,0.84463,0.73594,0.72227,0.74749,0.58582,0.56166,0.34399,0.86133,0.000470145,0.000470145,0.000470145
13,12192.4,0.49607,0.28955,0.84201,0.69867,0.67781,0.68131,0.54746,0.54824,0.34662,0.85111,0.000437158,0.000437158,0.000437158
14,13126.8,0.49077,0.28491,0.84178,0.70289,0.7266,0.70763,0.56848,0.53995,0.346,0.86476,0.000404172,0.000404172,0.000404172
15,14061.7,0.48333,0.27704,0.8386,0.69764,0.70224,0.70896,0.56645,0.5476,0.34013,0.86679,0.000371185,0.000371185,0.000371185
16,14987.9,0.47228,0.27001,0.83204,0.72358,0.70094,0.70464,0.55852,0.54661,0.35807,0.86325,0.000338198,0.000338198,0.000338198
17,15913.1,0.47056,0.26769,0.82995,0.74264,0.73676,0.73487,0.56679,0.54863,0.35171,0.8613,0.000305211,0.000305211,0.000305211
18,16838.1,0.46179,0.26065,0.82812,0.74045,0.70464,0.71494,0.58122,0.54686,0.32339,0.87063,0.000272224,0.000272224,0.000272224
19,17763.4,0.45315,0.25255,0.82571,0.71366,0.70002,0.69645,0.56471,0.5424,0.33297,0.86766,0.000239238,0.000239238,0.000239238
20,18688.8,0.44705,0.24745,0.82433,0.78985,0.72388,0.75862,0.58226,0.55106,0.33738,0.86023,0.000206251,0.000206251,0.000206251
21,19614,0.43963,0.24016,0.82108,0.77794,0.71759,0.76124,0.59388,0.53738,0.32633,0.86072,0.000173264,0.000173264,0.000173264
22,20539.8,0.43317,0.2347,0.82003,0.78642,0.68264,0.74215,0.58983,0.54006,0.33478,0.86239,0.000140277,0.000140277,0.000140277
23,21465,0.42521,0.22867,0.81803,0.74772,0.68743,0.71848,0.58164,0.53504,0.32892,0.85305,0.00010729,0.00010729,0.00010729
24,22390.6,0.41828,0.22266,0.81497,0.73961,0.73121,0.73244,0.58376,0.53454,0.33118,0.84719,7.43036e-05,7.43036e-05,7.43036e-05
25,23315.5,0.40982,0.21637,0.81314,0.75121,0.72989,0.73109,0.58674,0.53797,0.32308,0.8516,4.13168e-05,4.13168e-05,4.13168e-05
